"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5615","Verify withdrawing exact deposited amount brings balance to zero","","2026-02-27","passed","2026-02-27","","Withdrawing Money","org.example.tests.customer.CustomerTest$WithdrawingMoney","withdrawExactDeposit_balanceBecomesZero"
"","2211","Verify invalid customer data is rejected Invalid add customer: postal code with letters","","2026-02-27","failed","2026-02-27","","Adding Customers","org.example.tests.manager.ManagerTest$AddingCustomers","invalidCustomerData_rejected"
"","7981","Verify valid withdrawal with sufficient balance updates balance correctly","","2026-02-27","passed","2026-02-27","","Withdrawing Money","org.example.tests.customer.CustomerTest$WithdrawingMoney","validWithdrawal_updatesBalance"
"","4334","Verify negative deposit does not change balance","","2026-02-27","passed","2026-02-27","","Depositing Funds","org.example.tests.customer.CustomerTest$DepositingFunds","negativeDeposit_balanceUnchanged"
"","4512","Verify customer without account cannot access transactions, deposit, or withdrawal","","2026-02-27","passed","2026-02-27","","Account Access","org.example.tests.customer.CustomerTest$AccountAccess","customerWithoutAccount_cannotAccessBankingActions"
"","3095","Verify manager can create account for added customer","","2026-02-27","passed","2026-02-27","","Creating Accounts","org.example.tests.manager.ManagerTest$CreatingAccounts","createAccount_forAddedCustomer"
"","2253","Verify invalid customer data is rejected Invalid add customer: name with special characters","","2026-02-27","failed","2026-02-27","","Adding Customers","org.example.tests.manager.ManagerTest$AddingCustomers","invalidCustomerData_rejected"
"","2196","Verify manager can add new customer with valid data","","2026-02-27","passed","2026-02-27","","Adding Customers","org.example.tests.manager.ManagerTest$AddingCustomers","addNewCustomer_withValidData"
"","9539","Verify new account has empty transaction list","","2026-02-27","passed","2026-02-27","","Viewing Transactions","org.example.tests.customer.CustomerTest$ViewingTransactions","newAccount_emptyTransactionList"
"","16093","Verify deleted customer cannot access account","","2026-02-27","passed","2026-02-27","","Account Access","org.example.tests.customer.CustomerTest$AccountAccess","deletedCustomer_cannotAccessAccount"
"","2273","Verify invalid customer data is rejected Invalid add customer: name with numbers","","2026-02-27","failed","2026-02-27","","Adding Customers","org.example.tests.manager.ManagerTest$AddingCustomers","invalidCustomerData_rejected"
"","4457","Verify valid deposit updates balance correctly","","2026-02-27","passed","2026-02-27","","Depositing Funds","org.example.tests.customer.CustomerTest$DepositingFunds","validDeposit_updatesBalance"
"","4406","Verify zero deposit does not change balance","","2026-02-27","passed","2026-02-27","","Depositing Funds","org.example.tests.customer.CustomerTest$DepositingFunds","zeroDeposit_balanceUnchanged"
"","15174","Verify deleted customer no longer appears in Customer login dropdown","","2026-02-27","passed","2026-02-27","","Deleting Accounts","org.example.tests.manager.ManagerTest$DeletingAccounts","managerCanDeleteCustomer_notInCustomerDropdown"
"","14398","Verify manager can delete customer and customer is removed from list","","2026-02-27","passed","2026-02-27","","Deleting Accounts","org.example.tests.manager.ManagerTest$DeletingAccounts","managerCanDeleteCustomer_removedFromList"
"","4578","Verify withdrawal exceeding balance does not change balance","","2026-02-27","passed","2026-02-27","","Withdrawing Money","org.example.tests.customer.CustomerTest$WithdrawingMoney","withdrawalExceedingBalance_balanceUnchanged"
